id,name,brand,pk,price
1,LG-1,LG,0.5,50000
2,Sharp-2,Sharp,1,60000
3,Panasonic-3,Panasonic,2,70000
4,Samsung-4,Samsung,0.5,80000
5,Daikin-5,Daikin,1,90000
6,Gree-6,Gree,2,100000
7,Polytron-7,Polytron,0.5,110000
8,Electrolux-8,Electrolux,1,120000
9,Aqua-9,Aqua,2,130000
10,Midea-10,Midea,0.5,140000
11,LG-11,LG,1,200000
12,Sharp-12,Sharp,2,210000
13,Panasonic-13,Panasonic,0.5,220000
14,Samsung-14,Samsung,1,230000
15,Daikin-15,Daikin,2,240000
16,Gree-16,Gree,0.5,250000
17,Polytron-17,Polytron,1,260000
18,Electrolux-18,Electrolux,2,270000
19,Aqua-19,Aqua,0.5,280000
20,Midea-20,Midea,1,290000
